Tweet,Sentence 1,Sentence 2,Sentence 3
i got a gang of old ass drafts all trash,,,
i got a main bitch i got new hoe love my ak but i got my ,,,
i got a measly  followers on instagram thats probably why these bitches aint takin me serious,,,
i got a missed call from your bitch ,,,
i got a something that pays me  hunnit every week  only real bitches kno how to manage money ,,,
i got a surprise for you bitches,,,
i got a thick ass neck tho   or  on these hoes cant zip my half zip fleece out this bitch,,,
i got ass cheeks on my white tee all these hoes keep grindin on me,,,
i got bad bitches on stand by,,,
i got bitches geekin sneaking cocaina cross the customs ,,,
i got bitches nervous like virgins flirtin wit uncle mervin,,,
i got bitches on my dickthey just aint here yet nigga,,,
i got bitches tho thats all i got,,,
i got every reason to feel like im that bitch,,,
i got good credit so my bitch credit gotta match mine,,,
i got hella hoes,,,
i got hoes i got fuckin hoes i got fuckin hoes ,,,
i got hoes in different area codes,,,
i got hoes i got hoes i got hoes i got hoes,,,
i got lean i got work i got bands my nigguh,,,
i got money and hoes money and hoes,,,
i got more private tracks than public on my soundcloud i needa finish these joints so i can sick em on yall hoes,,,
i got more trust in drugs then these dumb ass bitches,,,
i got my dawg norris some blue flames for his bday dat bitch couldnt even drink it but u no pop alcoholic ass downed it,,,
i got my mind on my money all i needs a bad bitch so i can ride round the city and spend this cash with,,,
i got my own legacy bitches fuck yall legacy chavodagreat jacobryanbruhn,,,
i got my own rhythm and stroke patterns when im bout to nut be still bitch,,,
i got no patience for hoes actin lame ima stop fuckin wit yo ass quick asl,,,
i got no pic up lines i stay on my grind i tell a bitch all the time bitch get in my car  i got my  ridin on dayton spokes ,,,
i got no respect for hoe shit,,,
i got so many horses  all the hoes say that its gorgeous  in tha air dats where my doors issssss,,,
i got some bitch ass coworkers i stay late every day last week i dont complain about them mfs they stay late they send emails that i left,,,
i got some lightskin pussy one time and the bitch damn near had me bout to propose,,,
i got some yard work i need doneyou got me rt midcityace control your excitement sir  lets gooooo teena ,,,
i got something for your ass keep thinking im pussy,,,
i got soo many funny pictures from yesterday  bitches was fucced,,,
i got the streets in a head lock i got yo bitch in a leg lock,,,
i got the streets ina headlock i got yo bitch ina leg lock i do not fuck with the fed cops ,,,
i got the streets ina headlock i got yo bitch ina leg lock,,,
i got the streetz ina head locki got yo bitch ina leg lock,,,
i got these  dominican hoes that randomly hit me up every so often amp cant tell if they like me or tryna rob me,,,
i got this root beer chillin in the fridge imma crack that bitch open in a few,,,
i got yo bitch dick whipped,,,
i got a lot of hoes all up on my dick,,,
i gotta a bad bitch and all she do is bake cookies,,,
i gotta admit i used tell bitches everything they wanted to hear bighead change my ways a lil bit,,,
i gotta bad bitch always got her hair fixed always n the mall wit her friends buying outfits,,,
i gotta big head yah bitch i think its crown sized,,,
i gotta bitch to suck my dick till i nut spit it on my gut and slurp that shit back up aint that a slut,,,
i gotta bottle of liq at the crib when i get off im hitting dat bitch  the liq dat is,,,
i gotta get it while da gettin good my nigguh,,,
i gotta give de blasio credit he is a man of his word nypd cant arrest niggas for weed anymore hahahaha fuuuuuck yoouuuuu bitch,,,
i grew up ina jungle wit the gorilla snakes amp bird ass niggas ,,,
i grew up with niggahs dont trust no niggah no love for niggahs,,,
i guarantee there will b some hot twats out tonight in dresses with no leggings and open toed shoes,,,
i guess i just come off as a bitch to people ,,,
i guess bitches got it twisted and think im weak or something do i look weak do i look scary do i look like somebody you finna pick w,,,
i guess niccas think if they owe you money for so long youll forget ,,,
i guess none of deez rappin ass niggas wanna throw dem bitches wit da big homie ,,,
i guess that oh was a bitch i dont ha,,,
i had  fags in the space ae  hours excuse me confused wheresshitgoing,,,
i had a date wit irene nd that bitch stood me up matter of fact she stood da whole city up thanx you fucking cunt irene up ur ass no grease,,,
i had a dope ass parlay this week with san fran woulda won but them hoes ran back the pick  shit be rigged yo,,,
i had a dream i was in  grade again with my class except as my current self and remember thinking youre crazy you become a hoe moron,,,
i had a dumbass dr do that on a  i was just like this dumb bitch,,,
i had liked this one bitch but she always was in some shit causing some fucking drama,,,
i had the boldest side hoes come out to me i front of my girl nd start touchin a nigguh,,,
i had to hug the block you bitches just wave at it,,,
i had to tell a bitch i want the loveeeee,,,
i had to unfollow some crazy asian bitch earlier lol i dont play,,,
i had wack dick until i started messing with white hoes they stuck around amp let a young goon practice on em,,,
i hardly text back so these hoes love to phone me,,,
i hate a  think she know how to out head type bitch foh ,,,
i hate a hacked at  ass hoe,,,
i hate a i used to talk to herhim nigga or bitch like foh hater  we never talked u jus know em,,,
i hate a bitch that love a bitch that say she love a nigga tooconfused ass bitch what you gon dois you gay bitch is you straight bitch,,,
i hate a dont get shit done ass nigguh,,,
i hate a extra ass bitch or an extra ass nigga  youre doing too much  just stop  its unnecessary ,,,
i hate a nosey bitch like mind yah business,,,
i hate a ol fat disgusting walmart working ass bitch,,,
i hate a stuck up bitch likeeee stfu you aint shit special,,,
i hate a trash bad bitch,,,
i hate a wishy washy bitch,,,
i hate all these industry fags i hope they all get the nigerian summer flu,,,
i hate baldheadass bitches  ,,,
i hate bitch made niggas that think as soon as they get some pussy theyre bad ass youre  as a junior and you bang freshman bitchnigga,,,
i hate bitches but ugly andor fat bitches are the worst,,,
i hate bitches that fish for compliments,,,
i hate bitches that have attitudes all the time,,,
i hate bitches that wear those fake ass ray bans theyre only  stop being cheap,,,
i hate bitches who thinks everyone wants their nasty ass like no  youre not cute ,,,
i hate bitches with bad eyebrows,,,
i hate bitches with thick eyebrows,,,
i hate bitches thirsty ass bitches,,,
i hate drinking by myself everyones so fucking boring now fuck you guys ill be fun by myself pussies ,,,
i hate dumb bitches,,,
i hate fat bitches,,,
i hate females that push their asses out as they walk you know you look like a retarded flamingo right,,,
i hate ghetto bitches with a passion,,,
i hate going to parties where really fat bitches go and act like theyre the shit because theyre at the party like damn nessie im here too,,,
i hate hoes,,,
i hate hoes who be looking all nice nshit with their hair and nails done but they kids look like they barely survived a tornado,,,
i hate how girls bitch about e v e r y t h i n g,,,
i hate people who talk loud ignorant ass mother fuckers and ghetto people,,,
i hate pretty bitches that chill with lame niggas,,,
i hate pulling into stores niggas be staring like they never seen a bitch drive a car with rims and a system ,,,
i hate pumpkin flavored items you other white bitches are crazy theyre nasty ,,,
i hate ratchet country hoes im ashamed,,,
i hate selfrightous black bitches,,,
i hate selfrightous bitches in general but my people really get on my fucking nerve sometimes,,,
i hate stupid bitches who cry for stupid reasons,,,
i hate takin out the trash i always be expecting a big ass dog to be in the alley or like a raccoon to jump out the dumpster,,,
i hate texting boring bitches,,,
i hate that hoe  she aint bout shit,,,
i hate that hoe oml ,,,
i hate that my mom says she trying to move out here like bitch the only reason your trying is because you dont have a place to live,,,
i hate that one random tear that comes out when you havent blinked  nigga stop being a bitch ,,,
i hate that when i have assigned seats they sit me by the most annoying bitches in the whole class,,,
i hate the fing bus i hate the fing bus high ho the  i hate the fing bus,,,
i hate the ghetto trash at the special school across the street from my building all of them will grow up to be criminals,,,
i hate the white trash cops who raped and murdered my infant daughters and son,,,
i hate these hoes that look thick from the front them she pass u amp her ass be missing,,,
i hate this cookie built bitch ,,,
i hate those kids in your class that are always complaining and just being a bitchdouche to the teacher,,,
i hate tht hoe i make it so hard just to talk dont i i get off topic dont i i get it poppin dont i ill end up stoppin wont i,,,
i hate twitter just a bunch of sexy bitches i cant have,,,
i hate txtn this niggah man lol yrkillem,,,
